FAULT 3:46.9 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:46.9 S137 | re-cool still-boxed@246,112 n=1 ticks=160 end=risen y=66 startY=62 pos=246,62,112 walls=4/4/4 sky=15 place=55 boxed=true hold=false cool=160 ban=160 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:48.8 S135 | S130 suppressed why=would-S130 but busy cool=121 flips=3 sameXz=40 child=CollectIronIngotTask cool=121 ban=121 hold=false pos=246,60,112 walls=4/4/4 sky=15 place=56 boxed=true hold=false cool=121 ban=121 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:53.7 S109 | equip pick for mining (was holding cobblestone) | mining with a block in hand: force-equip the pick (S109 does this)
FAULT 3:54.0 E100 | jumps=6 @246,60,112 ph=IRON child=CollectIronIngotTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:54.4 S135 | S130 suppressed why=jump-pit-busy child=CollectIronIngotTask cool=10 ban=10 hold=false pos=246,61,112 walls=4/4/2 sky=15 place=55 boxed=false hold=false cool=10 ban=10 startY=- step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 3:54.4 S100 | stop jump-walk @246,112 ph=IRON child=CollectIronIngotTask esc=1 | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 3:54.4 S144 | jump-stuck collector — replace CollectIronIngotTask with wander (esc=2) | S100 nudge ineffective on a collector: child replaced with TimeoutWanderTask to break the re-path loop
FAULT 3:54.9 S134 | pillar cool expire after flips=3 end=risen y=66 startY=62 | pillar state machine: check ban column vs actual shaft column
FAULT 3:57.1 S138 | shaft ban clear left-xz ban=246,112 now=246,114 manh=2 left=16 | pillar state machine: check ban column vs actual shaft column
FAULT 4:05.4 S130 | START trigger=flips=3 ph=IRON prev=CollectIronIngotTask cycle=1 pos=261,62,127 walls=4/4/4 sky=15 place=56 boxed=true hold=false cool=0 ban=0 startY=62 step=0 | pillar state machine: check ban column vs actual shaft column
FAULT 4:07.1 E100 | jumps=10 @261,65,127 ph=IRON child=HolePillarTask | jump-in-place: release jump, turn 90, walk. check cobble reserve
FAULT 4:07.2 S139 | rise confirmed +4y y=66 startY=62 pos=261,66,127 walls=0/0/0 sky=15 place=54 boxed=false hold=true cool=0 ban=0 startY=62 step=37 | rise confirmed: real escape, cool armed
FAULT 4:07.2 S133 | cool arm ticks=80 reason=risen y=66 startY=62 ban=261,127 pos=261,66,127 walls=0/0/0 sky=15 place=54 boxed=false hold=true cool=80 ban=80 startY=62 step=37 | pillar state machine: check ban column vs actual shaft column
